id,title,abstract,category,predicted_category
38769011,Evaluation of systemic medications associated with diabetic retinopathy: a nested case-control study from the UK Biobank.,"This study aims to investigate the associations between commonly used systemic medications and diabetic retinopathy (DR). Individuals with linked primary care prescription data from the UK Biobank were included. Cases were defined as individuals with a Hospital Episode Statistics-coded or primary care recorded diagnosis of DR or self-reported DR. Controls were matched for age, sex, glycosylated haemoglobin, duration of diabetes mellitus (DM), hypertension status and cardiovascular disease status. ORs and 95% CIs were calculated using conditional univariate and multivariable logistic regression models. A total of 3377 case subjects with DR were included in the study and matched with 3377 control subjects. In multivariable logistic regression, increased odds of incident DR were observed for exposure to short-acting insulins (OR 1.63; 95% CI 1.22 to 2.18), medium-acting insulins (OR 2.10; 95% CI 1.60 to 2.75), sulfonylureas (OR 1.30; 95% CI 1.16 to 1.46). Instead, the use of fibrates (OR 0.71; 95% CI 0.53 to 0.94) and Cox-2 inhibitors (OR 0.68; 95% CI 0.58 to 0.79) was associated with decreased odds of incident DR. Dose-response relationships were observed for all five drug categories (all p<0.05). This study comprehensively investigated the associations between systemic medication use and DR and found significant associations between the use of short-acting insulins, medium-acting insulins and sulfonylureas with increased odds of incident DR. In contrast, fibrates and Cox-2 inhibitors were associated with decreased odds of incident DR. These findings may provide valuable insights into DM medication management and serve as a reference for the prevention of DR in patients with DM.",0,prevention
38768904,Postpartum Blood Pressure Control and the Rate of Readmission.,"Postpartum hypertension is a major contributor to the rising maternal mortality rates in the United States with nearly half of maternal deaths occurring after delivery. Previous studies have found evidence that the maximum blood pressure reading during the labor and delivery admission can predict readmission, however the optimal blood pressure to reduce the need for readmissions and additional medical treatment in the postpartum period is not known. To investigate the relationship between postpartum blood pressure control at discharge and readmission within the first six weeks after delivery. Data were obtained from Cosmos, an EHR-based, HIPAA-defined limited data set that includes more than 1.4 million birth encounters. All birthing parents with blood pressure data after delivery were included. Demographic information, medications, and readmissions were queried from the dataset. Patients were grouped into categories based on blood pressure readings in the 24 hours prior to discharge (≥160/110, ≥150/100, ≥140/90, ≥130/80, ≥120/80, and <120/80). The readmission rates across these groups were compared. Planned sub-analyses included stratification by the use of antihypertensive medications and a sensitivity analysis using the highest blood pressure during admission. Covariates included maternal age, pre-existing diabetes or lupus, and BMI. The analysis included 1,265,766 total birth encounters, 30.9% in the referent group, 120/80, 31.0% in <120/80, 19.7% in ≥130/80, 1.3% in ≥140/90, 4.0% in ≥150/100, and 1.6% in ≥160/110 groups. In the first six weeks after delivery, readmission rates rose with higher blood pressure readings. More than 5% of postpartum patients with the highest blood pressure readings (≥160/110) were readmitted. They were almost three times more likely to be readmitted than patients whose highest blood pressure reading fell into the referent group (120/80) (OR 2.90 [95%CI 2.69-3.12]). Patients with blood pressures >150/100 (2.72 [2.58-2.87]), >140/90 (2.03 [1.95-2.11]), and >130/80 (1.43 [1.37-1.49]) all had higher odds of readmission while those all <120/80 had a lower risk (0.78 [0.75-0.81]). Patients who had higher blood pressures during the admission but had improved control in the 24 hours prior to discharge had lower rates of readmission than those whose blood pressures remained elevated. At all blood pressure categories, patients who received an antihypertensive prescription had higher rates of readmission. In this large, national dataset, blood pressure control at discharge and readmission in the postpartum period were significantly correlated. These data should inform postpartum hypertension treatment goals and the role of remote monitoring programs to improve maternal safety.",2,treatment
38768871,Pomegranate (Punica granatum L.) phytochemicals target the components of metabolic syndrome.,"Pomegranate (Punica granatum L.) is a multipurpose dietary and medicinal plant known for its ability to promote various health benefits. Metabolic syndrome (MetS) is a complex metabolic disorder driving health and socioeconomic challenges worldwide. It may be characterized by insulin resistance, abdominal obesity, hypertension, and dyslipidemia. This study aims to conduct a review of pomegranate's effects on MetS parameters using a mechanistic approach relying on pre-clinical studies. The peel, juice, roots, bark, seeds, flowers, and leaves of the fruit present several bioactive compounds that are related mainly to anti-inflammatory and antioxidant activities as well as cardioprotective, antidiabetic, and antiobesity effects. The use of the juice extract can work as a potent inhibitor of angiotensin-converting enzyme activities, consequently regulating blood pressure. The major bioactive compounds found within the fruit are phenolic compounds (hydrolysable tannins and flavonoids) and fatty acids. Alkaloids, punicalagin, ellagitannins, ellagic acid, anthocyanins, tannins, flavonoids, luteolin, and punicic acid are also present. The antihyperglycemia, antihyperlipidemia, and weight loss promoting effects are likely related to the anti-inflammatory and antioxidant effects. When considering clinical application, pomegranate extracts are found to be frequently well-tolerated, further supporting its efficacy as a treatment modality. We suggest that pomegranate fruit, extract, or processed products can be used to counteract MetS-related risk factors. This review represents an important step towards exploring potential avenues for further research in this area.",2,diagnosis
38768867,"Association of sodium-glucose cotransporter 2 inhibitor use with risk of osteoporotic fracture among older women: A nationwide, population-based cohort study.","We investigated the relationship between sodium-glucose cotransporter-2 inhibitor (SGLT2i) and fracture in elderly women diagnosed with type 2 diabetes mellitus (T2DM) and newly prescribed antidiabetic medications (ADMs). We used the population-based cohort study data from the National Health Insurance Service of Korea (2013-2020). Women ≥65 years old with T2DM, who were newly prescribed ADMs other than glucagon-like peptide-1 receptor agonists and thiazolidinedione, and who had comprehensive health check-up data were included. A total of 1,333 SGLT2i users were matched in a 1:2 ratio with 2,626 non-SGLT2i users. After propensity score matching, mean age, body mass index, number of ADMs, and other covariates were well-balanced between SGLT2i users and non-SGLT2i users. During the follow-up period, a higher incidence of vertebral fractures in SGLT2i users than in non-SGLT2i users (incidence rate 19.2 vs. 13.8 per 1,000 person-years; hazard ratio 1.40, 95 % confidence interval 1.00-1.96, p = 0.049). No significant difference was noted in other types of fracture. SGLT2i use showed an increased risk of vertebral fracture than non-SGLT2i use in elderly women. Although further validation is required, SGLT2i should be cautiously prescribed in older women due to the potential association with fracture risk.",2,diagnosis
38768866,The effects of policosanol supplementation on blood glucose: A systematic review and dose-response meta-analysis of randomized controlled trials.,"Previous studies have assessed how supplementing with policosanol affects blood sugar levels. The outcomes, nevertheless, were not constant. Multiple electronic databases were searched including ISI Web of Science, Cochrane Library, PubMed, Google Scholar, and Scopus until February 9, 2023. To assess the effects of policosanol on glucose, we employed a random-effects or fixed-effects meta-analysis approach to examine the weighted mean differences (WMDs) and associated 95 % confidence intervals (CI) before and after policosanol and placebo administration. The final analysis comprised a total of 25 trials with 2680 participants. Compared to the control group, policosanol supplementation significantly reduced blood glucose levels (WMD: -2.24 mg/dl; 95 % CI: -4.05, -0.42, P = 0.01). Findings from subgroup analysis revealed a significant reduction of policosanol supplementation on glucose levels in period of less than 24 weeks, and in individuals below 50 years of age. Additionally, the reduction was statistically significant in dosage of 10 mg/day. Our dose-response analysis indicates no evidence of a non-linear relationship between policosanol dose and duration and changes in glucose levels (P-nonlinearity = 0.52, and P-nonlinearity = 0.52, respectively). Policosanol supplementation might improve blood glucose. Further trials with more complex designs are required to confirm the findings.",2,diagnosis
38768849,"Progressive supranuclear palsy, a case report.","Progressive Supranuclear Palsy (PSP), also known as Steele-Richardson-Olszewski syndrome, is a rare neurodegenerative disease characterized by a variety of motor and neuro-ophthalmological symptoms. We present the case of a 73-year-old male patient with a history of type 2 diabetes and high blood pressure, who consulted for gait disorders, tremors in the extremities, and difficulty controlling conjugate gaze. During physical examination, findings consistent with PSP were noted, including hypomimia, muscle rigidity, and abnormal movements. The initial misdiagnosis of Parkinson's disease and subsequent administration of levodopa highlight the importance of accurate diagnosis in complex neurological conditions. This clinical case highlights the need for a thorough evaluation of neuro-ophthalmological symptoms and signs to ensure an appropriate therapeutic approach and improve the quality of life of patients.",1,diagnosis
38768826,Associations of meeting 24-hour movement behavior guidelines with social and emotional function in youth with ASD/ADHD.,"The 24-hour movement behavior (24-HMB) guidelines recommend that children and adolescents should limit screen time (ST), get an adequate amount of sleep (SL), and engage in sufficient physical activity (PA) to ensure health and healthy development. Meeting 24-HMB guidelines is associated with positive mental health outcomes (e.g., social and emotional function) in the general population. However, it is unclear whether such findings extend to children and adolescents with comorbid Autism Spectrum Disorder (ASD) and Attention-Deficit/Hyperactivity Disorder (ADHD). Thus, we examined associations of meeting 24-HMB guidelines with social and emotional function in children and adolescents with comorbid ASD/ADHD. Data from the 2020-2021 National Survey of Children's Health - a U.S. national, population-based, cross-sectional study - were used. We extracted and analyzed data on children and adolescents (aged between 6 and 17 years) diagnosed with comorbidity of ASD/ADHD. Data on movement behaviors (PA, ST, and SL) and specific outcome variables (social function and emotional function) were collected through caregiver-proxy reports. Logistic regressions were performed to examine the associations between meeting 24-HMB guidelines and social and emotional outcomes adjusting for covariates (e.g., age, sex, ethnicity, weight status, birth status, socio-economic status, and receiving medication/behavioral treatment). Among 979 children and adolescents with comorbid ASD/ADHD, only 3.8 % met all three 24-HMB guidelines. In total, 45.0 % of participants met at least one guideline, and 25.5 % of those met at least two guidelines. Compared to those who did not meet any 24-HMB guidelines, meeting SL + ST guidelines was significantly associated with lower odds of poorer social function (being bullied: OR = 0.3, 95%CI [0.1-0.7]; arguing: OR = 0.2, 95%CI[0.1-0.4]). Furthermore, meeting PA + ST + SL guidelines was associated with lower odds of poorer emotional function (depression: OR = 0.5, 95%CI[0.3-0.7]). Meeting 24-HMB guidelines was associated with better social and emotional function in U.S. children and adolescents with comorbid ASD/ADHD; however, currently very few with comorbid ASD/ADHD meet all 24-HMB guidelines. These results emphasize the importance of promoting adherence to the 24-HMB guidelines among children and adolescents facing the challenges of comorbid ASD/ADHD. These cross-sectional findings point to the need for further empirical evidence from longitudinal studies to support our conclusions.",2,treatment
38768824,Exploring the L-shaped relationship between Atherogenic Index of Plasma and depression: Results from NHANES 2005-2018.,"The Atherogenic Index of Plasma (AIP) is a novel metric linked to several diseases. However, there is inadequate evidence to investigate the relationship between AIP and depression. Therefore, we aim to elucidate the non-linear association between AIP and depression. 12,453 participants from the National Health and Nutrition Examination Survey (NHANES) 2005-2018 were included. The AIP was calculated as log10 (triglycerides/high-density lipoprotein cholesterol). The Patient Health Questionnaire (PHQ-9) was used to identify depression (PHQ-9 ≥ 10). Weighted multivariate logistic regression, restricted cubic splines (RCS) models, subgroup analysis, and interaction tests were employed to reveal the relationship between AIP and depression. AIP was found to be significantly correlated with depression. In the fully adjusted model, elevated AIP levels were associated with higher odds of depression (odds ratio [OR] = 1.50; 95 % CI: 1.06-2.12). The RCS analysis indicated an L-shaped pattern in the relationship between depression and AIP, with inflection points at -0.289. Beyond this inflection point, individuals with elevated AIP levels were associated with higher odds of depression (OR = 2.25; 95 % CI: 1.49-3.39). Notably, the association was particularly pronounced among individuals with diabetes. This cross-sectional study is unable to establish causal relationships. There was an L-shaped association between AIP and depression among US adults. AIP has the potential value as a biological marker for depression, and maintaining AIP values below a certain threshold may help in managing depression.",2,diagnosis
38768822,"The associations between dietary flavonoids intake and risk of depressive symptom in diabetic patients: Data from NHANES 2007-2008, 2009-2010, and 2017-2018.","The increasing incidence of depressive symptoms in diabetic patients contributes to the global burden of disease, but few epidemiological studies have evaluated the relationship between dietary flavonoids intake and depressive symptoms in diabetic patients in American adults. This study intended to evaluate the associations of dietary flavonoids intake and depressive symptoms in diabetic patients in American adults. We conducted a cross-sectional analysis of 1993 adults aged ≥20 years old who participated in the 2007-2008, 2009-2010, and 2017-2018 National Health and Nutrition Examination Surveys (NHANES). Chi-square test and independent-sample t-test were used to compare subjects' characteristics. Logistic regression model was further used to analyze the relationship between dietary flavonoid intake and depressive symptoms in diabetic patients. Restricted cubic spline (RCS) analysis was used to investigate the non-linear relationship between dietary flavonoid intake and the prevalence of depressive symptoms in diabetic patients. The weighted quartile sum (WQS) regression was used to analyze the effect of 29 flavonoids monomers. The results showed that the total flavonoid intake in the third quartile (OR, 0.635; 95 % CI,0.419-0.962; P, 0.032) was significantly associated with a reduced risk of depressive symptoms in diabetic patients compared with the lowest quartile. And there was a U-shaped association between dietary flavonoid intake and risk of depressive symptoms in diabetic patients. Top contributors of flavonoid monomers were eriodictyol, naringenin, and theaflavin-3'-gallate, accounting for a percentage of 30.83 %, 22.17 %, and 6.92 %, respectively. Moderate (56.07-207.12 mg/day) dietary flavonoid intake was associated with a reduced risk of depressive symptoms in diabetic patients. The important flavonoid monomers were eriodictyol, naringenin, and theaflavin-3'-gallate.",2,treatment
38768802,A site-specific phosphorylation in FSTL1 determines its promigratory role in wound healing.,"Follistatin like-1 (FSTL-1) is a secreted glycoprotein of mesenchymal in origin. In human skin, FSTL1 is upregulated in the epidermal keratinocytes upon acute injury and is required for the migration of keratinocytes. Failure to upregulate FSTL1 leads to the lack of keratinocyte migration and the non- healing nature of diabetic foot ulcer (DFU). FSTL1 undergoes extensive post-translational modification (PTM) at specific residues. Glycosylation at N144, N175 and N180, are the only experimentally demonstrated PTM in FSTL1, wherein, N180 and N144 glycosylations have been found to be critical for its function in cardiac tissue regeneration and pre-adipocyte differentiation, respectively. However, it is not known if PTMs other than glycosylation occurs in FSTL1 and how it impacts its pro-migratory function. Using in-silico analysis of mass spectrometric datasets, we found a novel PTM, namely, Serine 165 (S165) phosphorylation in FSTL1. To address the role of S165 phosphorylation in its pro-migratory function, a phosphorylation defective mutant of FSTL1 (S165A) was constructed by converting serine 165 to alanine and over expressed in 293T cells. S165A mutation did not affect the secretion of FSTL1 in vitro. However, S165A abolished the pro-migratory effect of FSTL1 in cultured keratinocytes likely via its inability to facilitate ERK signaling pathway. Interestingly, bacterially expressed recombinant FSTL1, trans-dominantly inhibited wound closure in keratinocytes highlighting the prime role of FSTL1 phosphorylation for its pro-migratory function. Further, under high glucose conditions, which inhibited scratchwound migration of keratinocytes, we noticed a significant decrease in S165 phosphorylation. Taken together, our results reveal a hitherto unreported role of FSTL1 phosphorylation PTM with profound implications in wound healing.",2,diagnosis
